Time,X,Y,Z
135.9,0,48.71389576,19.73115916
136,0,48.62608593,19.64621398
136.1,0,48.53812798,19.56142218
136.2,0,48.45002217,19.47678403
136.3,0,48.36176878,19.39229979
136.4,0,48.27336806,19.3079697
136.5,0,48.1848203,19.22379403
136.6,0,48.09612576,19.13977303
136.7,0,48.0072847,19.05590696
136.8,0,47.91829742,18.97219608
136.9,0,47.82916416,18.88864064
137,0,47.7398852,18.80524089
137.1,0,47.65046083,18.72199708
137.2,0,47.5608913,18.63890948
137.3,0,47.47117689,18.55597834
137.4,0,47.38131788,18.4732039
137.5,0,47.29131453,18.39058642
137.6,0,47.20116713,18.30812616
137.7,0,47.11087595,18.22582335
137.8,0,47.02044125,18.14367826
137.9,0,46.92986333,18.06169113
138,0,46.83914245,17.97986222
138.1,0,46.74827888,17.89819176
138.2,0,46.65727292,17.81668002
138.3,0,46.56612483,17.73532724
138.4,0,46.47483489,17.65413367
138.5,0,46.38340338,17.57309954
138.6,0,46.29183057,17.49222513
138.7,0,46.20011676,17.41151065
138.8,0,46.10826221,17.33095638
138.9,0,46.01626721,17.25056254
139,0,45.92413203,17.17032938
139.1,0,45.83185696,17.09025716
139.2,0,45.73944228,17.0103461
139.3,0,45.64688827,16.93059647
139.4,0,45.55419521,16.85100849
139.5,0,45.46136338,16.77158241
139.6,0,45.36839307,16.69231847
139.7,0,45.27528457,16.61321692
139.8,0,45.18203814,16.534278
139.9,0,45.08865408,16.45550194
140,0,44.99513268,16.37688898
140.1,0,44.90147421,16.29843937
140.2,0,44.80767896,16.22015335
140.3,0,44.71374723,16.14203115
140.4,0,44.61967928,16.06407301
140.5,0,44.52547542,15.98627916
140.6,0,44.43113592,15.90864986
140.7,0,44.33666108,15.83118532
140.8,0,44.24205119,15.75388579
140.9,0,44.14730652,15.67675151
141,0,44.05242737,15.5997827
141.1,0,43.95741404,15.5229796
141.2,0,43.8622668,15.44634245
141.3,0,43.76698594,15.36987149
141.4,0,43.67157177,15.29356693
141.5,0,43.57602456,15.21742902
141.6,0,43.48034462,15.14145799
141.7,0,43.38453223,15.06565406
141.8,0,43.28858768,14.99001748
141.9,0,43.19251126,14.91454846
142,0,43.09630327,14.83924725
142.1,0,42.99996401,14.76411406
142.2,0,42.90349376,14.68914913
142.3,0,42.80689281,14.61435269
142.4,0,42.71016147,14.53972497
142.5,0,42.61330003,14.46526618
142.6,0,42.51630878,14.39097656
142.7,0,42.41918802,14.31685634
142.8,0,42.32193804,14.24290574
142.9,0,42.22455914,14.16912498
143,0,42.12705162,14.0955143
143.1,0,42.02941577,14.02207391
143.2,0,41.9316519,13.94880403
143.3,0,41.83376029,13.8757049
143.4,0,41.73574125,13.80277674
143.5,0,41.63759507,13.73001976
143.6,0,41.53932206,13.65743419
143.7,0,41.44092252,13.58502024
143.8,0,41.34239673,13.51277815
